name,keywords,background,foreground,primary,accent,surface,muted,mode,notes
Ink and Signal,universal technical premium,#0B1220,#F8FAFC,#6D5EF7,#F59E0B,#172033,#94A3B8,dark,Precise dark neutral with violet and amber signals
Oat and Cobalt,editorial corporate calm,#F6F2EA,#172033,#2457FF,#E85D3F,#FFFFFF,#5E6878,light,Warm neutral editorial system with decisive cobalt
Forest and Clay,organic wellness hospitality,#F5F3EC,#1D2B24,#2F6B4F,#C46A43,#FFFFFF,#627067,light,"Natural, mature and tactile"
Noir and Ivory,luxury fashion editorial,#0D0D0F,#F7F3EB,#E8C77B,#B44C4C,#1A1A1E,#A7A299,dark,Monochrome luxury with restrained gold
Electric Night,ai gaming music,#090B18,#F5F7FF,#7C5CFC,#2DE2E6,#161A30,#9AA4C0,dark,High-energy digital palette with controlled neon
Coral Sky,consumer event community,#FFF8F3,#252338,#F05A47,#2E7DD7,#FFFFFF,#6A6575,light,Friendly expressive palette with strong contrast
Marine Trust,finance healthcare public,#F4F8FB,#102A43,#1367A8,#18A999,#FFFFFF,#5A7184,light,Trustworthy blue-green system
Cherry Graphite,bold brand campaign,#F7F7F5,#171719,#D7263D,#3F37C9,#FFFFFF,#66666F,light,Bold graphic palette without rainbow noise
Lime Charcoal,developer creative industrial,#151A17,#F3F7F2,#9BE33D,#4CB5F5,#202722,#A3ADA6,dark,Technical dark palette with fresh lime signal
Lavender Paper,soft premium wellness,#F7F4FF,#282238,#7E62B7,#C86B98,#FFFFFF,#746B82,light,Soft but legible premium palette
Terracotta Editorial,hospitality food craft,#FBF4EB,#35251D,#B65432,#2E6D63,#FFFDFC,#76665D,light,Warm material-led palette
Ice and Vermilion,swiss modern corporate,#F7F9FA,#131A20,#E24329,#1565C0,#FFFFFF,#5F6B74,light,Crisp modernist palette
Midnight Gold,luxury finance automotive,#101318,#F8F4EA,#D6AD5C,#5E8BFF,#191E26,#9FA8B5,dark,Deep premium palette with gold action
Sunlit Blue,education nonprofit public,#FFFDF5,#1D2A3A,#2F73D9,#F4A640,#FFFFFF,#657487,light,"Optimistic, accessible and clear"
Rosewood Cream,heritage hospitality editorial,#F7EFE5,#3D2326,#8D3C50,#C98B55,#FFF9F2,#7A6564,light,Heritage warmth with refined rosewood
Cyber Teal,security technical ai,#071517,#E9FFFC,#10B9A7,#FF6B5F,#102326,#8DB8B4,dark,Calm technical dark palette
Mono Red,brutalist design portfolio,#FFFFFF,#101010,#E82727,#1C64F2,#F2F2F2,#606060,light,"Graphic black, white and red"
Deep Ocean,travel hospitality media,#061B2A,#F2FAFF,#2AB7CA,#FFB45E,#0C2A3E,#91B1C3,dark,Atmospheric oceanic palette
Sage Peach,community wellness consumer,#F7F7F0,#28322C,#527A5A,#D47456,#FFFFFF,#68736C,light,Friendly natural palette
Plum Acid,creative music event,#160D1D,#FFF7FF,#C26DFF,#D7F23A,#24142E,#BDA6C8,dark,Expressive creative palette with acid accent
Stone Azure,enterprise analytics,#F4F6F8,#18212B,#2D6CDF,#0F8F80,#FFFFFF,#697887,light,Neutral analytical palette
Sand Indigo,modern heritage finance,#F3EBDD,#252038,#5948A8,#C8703C,#FCF9F2,#746D7E,light,Heritage-meets-modern palette
Black Mint,product showcase automotive,#090B0A,#F3F6F4,#48BF86,#C9F229,#151917,#9BA7A0,dark,Premium product palette with mint highlights
Cloud Raspberry,consumer saas marketplace,#F8FAFC,#222433,#C22E67,#4C6FFF,#FFFFFF,#6A7082,light,Friendly software palette
