name,keywords,direction,implementation,avoid
Editorial Photography,luxury travel fashion hospitality editorial,"High-quality photography with confident crops, generous negative space, and restrained treatment",Use local AVIF/WebP assets with art-directed aspect ratios,Generic stock-photo collage or inconsistent colour grading
Product Macro,ecommerce hardware automotive product premium,"Close material details, controlled reflections, and tactile product surfaces",Combine hero macro with precise supporting diagrams,Floating product renders with no context or scale
Human Documentary,healthcare community education nonprofit people trust,"Candid, dignified real-world moments with natural light and authentic environments",Prioritise consented brand photography; avoid faces as decoration,Performative stock smiles and token diversity
Data as Landscape,analytics climate science data ai technical,"Turn real data structures into spatial lines, fields, topology, or atmospheric patterns",Generate deterministic SVG/Canvas patterns from product data,Random particle backgrounds unrelated to the product
Geometric System,saas corporate fintech developer architecture,A repeatable family of geometric forms built from the product's core metaphor,"Create local SVG motifs with token-driven stroke, fill, and scale",Unrelated abstract blobs on every section
Illustrated Explainer,education children onboarding complex workflow playful,Clear custom vector scenes that explain concepts and reward discovery,"Use a consistent line, shape, and character grammar",Mixing clip-art illustration families
Cinematic Atmosphere,gaming automotive entertainment ai immersive dark,"Dramatic light, scale, depth, and restrained atmospheric effects",Reserve cinematic treatment for hero and one signature transition,"Persistent fog, bloom, and glow that reduce legibility"
Material Collage,fashion art music campaign culture expressive,"Layered cut-outs, texture, typography, and image fragments with a deliberate editorial rhythm",Use a small curated texture set and stable z-index system,Chaotic overlap without reading order
Technical Diagram,developer tool security architecture operations engineering,"Precise schematics, topology, annotations, and inspectable relationships",Use SVG with accessible labels and responsive simplification,Decorative architecture diagrams that imply false system facts
Quiet Texture,wellness craft food heritage premium calm,"Subtle grain, paper, fabric, or natural material texture supporting an understated brand",Use tiny local texture assets or CSS noise at low opacity,Texture over body copy or controls
No-Image Typography,brutalist swiss portfolio developer campaign bold,"Typography, grid, rules, and colour carry the entire identity","Invest in type scale, line breaks, and responsive composition",Using no imagery as an excuse for an empty page
Interface-in-Context,b2b saas productivity workflow app marketing,Show real product UI as part of the story rather than generic browser mockups,Use accurate product screenshots or live embedded demos,Fake screens that promise functionality the product does not have
