style,keywords,description,best_for,motion,depth,avoid
Editorial Minimalism,editorial minimal refined premium whitespace serif,"Restrained composition, typographic hierarchy, generous negative space","Luxury, portfolio, editorial, hospitality",Low to medium,Flat to softly layered,Avoid empty minimalism without content quality
Swiss Modern,swiss grid geometric typography bold rational,"Strong grid, objective typography, crisp contrast","Corporate, architecture, design, developer tools",Low,Flat graphic,Avoid sterile repetition
Soft Premium,soft premium calm tactile rounded subtle shadow,"Warm surfaces, refined softness, high craft","Wellness, healthcare, premium SaaS",Low,Softly elevated,Avoid low-contrast grey-on-grey
Cinematic Dark,cinematic dark immersive dramatic lighting media,"Full-bleed visual storytelling, deep contrast, controlled motion","Gaming, music, AI, automotive",Medium to high,Layered dimensional,Avoid glow everywhere and unreadable text
Bold Brand Blocks,bold blocks saturated large type graphic,Confident colour fields and expressive typography,"Events, consumer brands, campaigns",Medium,Flat graphic,Avoid arbitrary colour proliferation
Data Dense Precision,dense analytical compact table grid technical,High information density with strong comparison hierarchy,"Operations, analytics, finance, scientific tools",Low,Bordered planes,Avoid card walls and excessive whitespace
Organic Editorial,organic natural textured human warm,"Soft irregular shapes, natural palette, human imagery","Wellness, climate, hospitality, food",Low to medium,Textured layers,Avoid generic leaf motifs
Neo Brutalist,brutalist raw bold border high contrast playful,"Direct shapes, heavy borders, deliberate roughness","Creative, youth, experimental products",Medium,Flat with hard offsets,Avoid accidental-looking inconsistency
Technical Blueprint,blueprint diagram grid mono precise systems,"Diagram-led, technical labels, structured hierarchy","Developer, engineering, security, scientific",Low,Bordered technical,Avoid novelty sci-fi overlays
Future Spatial,future spatial layered glass depth gradient,Layered surfaces and spatial transitions with restraint,"AI, creative tools, advanced analytics",Medium to high,Translucent layered,Avoid illegible glass and performance-heavy blur
Luxury Monochrome,luxury monochrome black white editorial fashion,High-contrast typography and exceptional imagery,"Luxury, fashion, automotive",Low,Flat/editorial,Avoid weak placeholder imagery
Playful Geometry,playful geometric bright friendly shapes,"Friendly modular shapes, expressive colour and motion","Education, kids, consumer apps",Medium,Flat/tactile,Avoid childishness for adult audiences
Retro Futurism,retro future analog grain chrome neon,Nostalgic tech references and cinematic composition,"Music, gaming, creative campaigns",High,Layered graphic,Avoid cliché overload
Quiet Corporate,corporate trust neutral restrained enterprise,"Clear hierarchy, calm neutrals, disciplined brand accent","B2B, finance, public sector",Low,Bordered/soft,Avoid generic template blandness
Craft and Material,craft tactile paper grain print handmade,"Material texture, human details, editorial rhythm","Food, artisan, hospitality, portfolio",Low to medium,Textured tactile,Avoid fake texture that harms readability
Product Showcase,product showcase macro clean premium ecommerce,"Hero product imagery, comparison, configuration moments","Ecommerce, hardware, automotive",Medium,Soft/immersive,Avoid feature-card-first composition
Magazine Grid,magazine editorial asymmetric content rich,Asymmetric editorial grid and varied content scale,"News, culture, portfolio, events",Medium,Flat/editorial,Avoid chaotic reading order
Warm Humanist,humanist warm approachable photography inclusive,"Human photography, friendly typography, soft accents","Healthcare, nonprofit, community",Low,Soft/editorial,Avoid staged stock-photo clichés
High Contrast Utility,utility high contrast compact functional,"Direct controls, strong states, keyboard-first efficiency","Developer tools, operations, admin",Low,Bordered planes,Avoid decorative effects that slow work
Immersive Narrative,immersive scroll storytelling visual journey,"Narrative sequence, full-bleed sections, purposeful transitions","Travel, campaigns, climate, luxury",High,Immersive layers,Avoid scroll-jacking and motion dependence
Modern Heritage,heritage classic serif modern craftsmanship,Classic typography with contemporary spacing and digital polish,"Hospitality, finance, institutions, luxury",Low,Editorial,Avoid faux-vintage ornament overload
Vibrant Consumer,consumer vibrant energetic friendly app,"Strong brand colour, rounded forms, clear conversion","Consumer utilities, sports, marketplaces",Medium,Soft/flat,Avoid rainbow interfaces
Monochrome Technical,monochrome technical code terminal precise,Neutral system with one signal accent,"Developer, cybersecurity, scientific",Low,Flat/bordered,Avoid matrix/hacker clichés
Gallery First,gallery image first minimal portfolio art,Artwork dominates; controls recede,"Photography, architecture, art, fashion",Low,Flat/editorial,Avoid tiny inaccessible navigation
Tactile App,tactile app physical controls depth playful,Pressable surfaces and subtle material feedback,"Consumer, education, creative tools",Medium,Tactile elevated,Avoid excessive skeuomorphism
Aurora Gradient,aurora gradient atmospheric luminous modern,Atmospheric colour fields behind clear structured content,"AI, events, creative SaaS",Medium,Layered glow,Avoid default purple-pink AI look
Paper Interface,paper e-ink reading calm editorial,Low-distraction paper-like reading environment,"Editorial, notes, education",Low,Flat textured,Avoid weak contrast and faux shadows
Industrial Systems,industrial utilitarian modular engineering,"Hard-working grid, labels, signals and technical colour","Logistics, manufacturing, operations",Low,Bordered planes,Avoid visual harshness without hierarchy
Elegant Glass,glass translucent premium subtle blur,Selective translucent panels over strong imagery,"Luxury digital, media, spatial tools",Medium,Glass layers,Avoid stacking glass on low-contrast backgrounds
Optimistic Science,science bright precise optimistic diagrams,Clear evidence with optimistic colour and system diagrams,"Climate, biotech, research",Low to medium,Flat/diagrammatic,Avoid childish science iconography
