name,display_stack,body_stack,keywords,notes
Editorial Authority,"Georgia, Charter, Cambria, serif","Inter, ui-sans-serif, system-ui, sans-serif",editorial luxury heritage,Expressive serif headlines with modern utility body
Modern Product,"Inter, ui-sans-serif, system-ui, sans-serif","Inter, ui-sans-serif, system-ui, sans-serif",saas product neutral,One family with strong weight and size hierarchy
Humanist Trust,"Avenir Next, Segoe UI, system-ui, sans-serif","Avenir Next, Segoe UI, system-ui, sans-serif",healthcare community public,Friendly open forms and high readability
Technical Precision,"IBM Plex Sans, Arial, sans-serif","IBM Plex Mono, SFMono-Regular, Consolas, monospace",developer technical data,Technical body with selective mono metadata
Luxury Contrast,"Didot, Bodoni 72, Times New Roman, serif","Helvetica Neue, Arial, sans-serif",luxury fashion hospitality,High-contrast editorial display with neutral body
Bold Grotesk,"Arial Black, Helvetica Neue, Arial, sans-serif","Helvetica Neue, Arial, sans-serif",campaign event bold,Large statement display and clean body
Warm Editorial,"Palatino, Book Antiqua, Georgia, serif","Gill Sans, Segoe UI, system-ui, sans-serif",craft food editorial,Warm bookish display and humanist body
Playful Geometric,"Trebuchet MS, Avenir Next, system-ui, sans-serif","Avenir Next, system-ui, sans-serif",education kids consumer,Rounded approachable geometry without novelty fonts
Mono Accent,"Inter, system-ui, sans-serif","SFMono-Regular, Consolas, monospace",ai developer cyber,Neutral interface with technical labels and numerals
Magazine,"Times New Roman, Georgia, serif","Arial, Helvetica, sans-serif",news magazine culture,High editorial contrast and compact labels
Swiss Rational,"Helvetica Neue, Arial, sans-serif","Helvetica Neue, Arial, sans-serif",swiss corporate architecture,Grid-led hierarchy and careful tracking
Cinematic,"Arial Narrow, Helvetica Neue, sans-serif","Inter, system-ui, sans-serif",cinematic gaming automotive,Compressed display scale with readable body
Soft Premium,"Avenir Next, Segoe UI, system-ui, sans-serif","Segoe UI, system-ui, sans-serif",wellness premium saas,Gentle geometry and calm spacing
Institutional,"Baskerville, Georgia, serif","Arial, system-ui, sans-serif",finance public heritage,Credible serif authority and practical body
Gallery,"Helvetica Neue, Arial, sans-serif","Helvetica Neue, Arial, sans-serif",portfolio art gallery,Minimal typographic interference
Expressive Display,"Impact, Arial Black, sans-serif","Inter, system-ui, sans-serif",brutalist music event,Statement display with restrained supporting type
